ID_PESQUISA;ID_QUESTIONARIO;ID_PERGUNTA;COD_CURSO;SETOR_CURSO;RESPOSTA;SITUACAO
32861;604;1942;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1943;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1944;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1945;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1946;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1947;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1948;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1949;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1950;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1951;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;604;1952;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;605;1811;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;605;1812;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;605;1953;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;605;1954;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;605;1955;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;605;1956;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;606;1820;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;606;1957;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;606;1958;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;606;1959;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32861;606;1960;40001016046G0;SETOR DE CIÊNCIAS DA SAÚDE;Concordo;Fim respostas
32865;604;1942;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1943;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1944;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1945;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1946;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1947;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1948;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1949;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1950;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1951;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;604;1952;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Desconheço;Fim respostas
32865;605;1811;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;605;1812;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;605;1953;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;605;1954;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;605;1955;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32865;605;1956;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
